area_id,death_rate_2005,death_rate_2017,ideath_rate_12_16,ideath_rate_13_17,life_ex65_5_9,life_ex65_13_17,life_ex_13_17,death_per_hosp_2005,death_per_hosp_2017,diabd_14_16,bmi_14_16,bmi_17_18,cancerm_11_15,cancerf_11_15,travel_time,income15,academic,jews_share,bagrut_zakaim_15_16
411.0,5.359523713875396,4.794219855659659,2.4,2.0,20.12664289,20.86282712,82.51828838,34.9088862100244,32.202875481318905,52.111602426837976,28.975731620271233,32.041662591618994,320.86123747237724,308.00405739913555,12.166666666666666,9264.620420974303,0.26518593861527484,93.26955745895789,57.06427551748751
412.0,7.262216104361607,6.424238115929075,3.9705530642750375,3.9245495495495497,,,,38.79166645637439,34.53414538008291,103.52172297297297,48.02477477477478,48.27554931370797,256.13487453806306,228.93524723941442,20.61936936936937,5994.102477477478,,,45.66869369369369
421.0,4.74449854949032,4.258423030539826,1.2814459930313589,1.486280487804878,21.51814035673643,22.345648176972997,84.9786562540723,35.76051564905426,33.315328004107215,44.53187717770035,24.48693379790941,26.014888557985657,334.8686517246951,332.845084905662,8.76959930313589,12266.600174216028,0.45668205574912896,97.04207317073171,78.35648954703832
422.0,5.101202721723159,4.666726653534404,2.28117123795404,2.1231776624660244,19.98961888,21.27731143,83.46587316,36.46304078748153,33.32022067804261,58.39933412322275,27.07962085308057,29.654377766131468,308.0325325595256,319.22823237516684,7.866350710900474,9670.726073372038,0.30953289967475606,94.74435826870153,59.972535545023696
431.0,3.7110452261967213,3.16,1.7,1.6,21.07634523,22.73876102,85.94649668,30.856096059541972,28.777343552251807,45.56,25.0,26.100000000000005,325.4216751,308.2761588,19.0,14217.0,0.523,98.0,85.1
432.0,5.850996198792113,5.132612165099943,3.3971736204576044,2.597173620457604,17.90329136629684,19.446982224320323,80.57944029690445,38.15225428735026,32.51531011931339,65.99127569847127,32.267791249341066,31.95327858554375,331.09681583006494,321.03245384057885,9.255139694254085,8199.73486213495,0.16164259356879282,73.60595677385345,43.89562467053242
441.0,5.171090789038584,4.482079001028978,2.38133971291866,2.1189212701174425,20.07969982,21.50565199,83.84750861,37.08863127788536,31.890562986021443,53.41022038567493,27.687918142463598,30.6389828786433,305.88280661165726,309.9602574492389,8.916493560448691,10345.231435408894,0.34201770956316413,95.79472648563558,64.06332152695789
442.0,5.0965839563736015,4.525638032452919,1.9,2.0,20.00411907,21.36518989,83.5398709,38.130757222279925,35.48171296241407,51.16400676818951,29.53197969543147,32.42916719784775,356.4466955379018,319.2074392714382,9.652453468697123,10438.91573604061,0.28067918781725887,92.81130287648054,68.61972927241963
511.0,5.740561470370396,4.982224931962731,1.6005025996533795,1.5,19.33490442533062,21.00546983107163,82.88183211189698,40.55518782008007,40.152263099737695,44.5720554592721,27.44783362218371,28.12487569425172,338.88611681611786,347.5068897419758,10.718544194107452,11169.390467937608,0.42150398613518203,91.83987868284228,67.06906412478338
512.0,5.18205807418544,4.751472207035846,2.3941176470588235,2.5266450648055834,20.327459496985377,21.642258820864907,83.91307869170737,39.29654646800843,36.3439128973156,49.49855343271048,24.80747428091539,24.29438506678584,294.04018545242496,304.4989528865631,6.366995591014067,8865.506403527188,0.268406256560991,97.02949821541046,47.84188536636574
513.0,5.4476690579805735,5.198379987072418,2.3628714251758347,2.182233330692316,19.683783140616022,20.1480090986948,81.94429372177949,35.4038433474508,36.51891343633247,58.734775757290876,31.40656019881313,33.52659984372796,350.82786632009265,346.3246575640926,8.224195041354049,8122.48378461462,0.1563307272744727,87.71721358462877,58.34715633304713
611.0,6.189676203135371,6.11,,1.8,,,,40.938924901438966,37.146694272176795,69.47,29.0,33.2,276.2972957,286.9845643,20.0,6018.0,0.09,98.0,52.2
612.0,5.872624496,5.55,2.7,3.0,,19.4911582,80.99893725,43.362163909200774,38.419018193184854,64.91,36.0,30.8,361.56840520000003,294.9059317,24.0,6670.0,0.114,93.8,49.6
613.0,5.417729794,5.02,2.7,2.2,19.13434177,20.241899410000002,81.91539984,42.299202531932345,38.3732090203823,60.46,32.0,31.5,379.3884092999999,327.0764268000001,23.0,7997.0,0.134,89.9,48.5
614.0,5.752929491612229,5.247578112378681,2.769716088328076,2.9665615141955834,19.01964866,20.25377713,81.83897644,33.38247548941477,30.565509401568814,58.25132492113565,39.66561514195583,37.97898440444975,367.3092186974763,345.7105360116719,6.271293375394322,7531.397476340694,0.16821451104100943,88.26908517350158,61.03028391167192
621.0,5.881711311,5.66,5.4,4.4,,,,42.95504915111663,36.08556712705925,65.29,29.0,29.3,276.1316582,283.5922916,28.0,6314.0,0.122,96.6,36.8
622.0,6.30236717224812,6.49,2.7,2.2,,,,51.41454341692462,41.677020446901004,68.52,29.0,30.7,357.4662667,380.74348389999994,24.0,6405.0,0.096,93.0,34.8
623.0,5.935934327697667,5.443747343793012,7.063503269708504,6.424758170783682,18.591504597200647,20.24038036,81.43607798,38.4413528926063,32.7448647219519,71.04852282213993,33.77777780072621,33.28189544798201,345.0911187297967,285.7674479181356,13.395156664943466,6985.061109337766,0.18485596529284165,86.50347071583514,43.64833993659697
625.0,5.108630423,5.570000000000001,1.3,1.8,,18.59531441,79.98506024,36.385300558853984,30.955049575640054,57.76,34.0,30.1,401.2015105,339.1301653,4.0,7634.0,0.102,81.6,57.4
626.0,6.658069073378023,6.65,2.4,2.8,,,,45.976675745718794,37.708160129547146,75.44,37.0,31.600000000000005,360.1613674,295.5874171,28.0,8252.0,0.10099999999999999,90.1,50.6
628.0,4.009294335950684,4.107546223495371,2.5034682080924857,2.3404624277456647,,22.681764706722973,85.43650584094594,41.036082151799135,27.708882365093604,53.40998439125911,21.665452653485954,24.409632857898377,272.6083021237028,307.69080004266505,28.727367325702392,6128.987550044744,0.10839646201873049,97.27840790842872,23.497398543184183
